id при поиске;Публикация;Цитируется;Ф.;И.;О.;;;год. расч.;год уточн.;Год;по теме;актуально;Организация
1;НЕКОТОРЫЕ КОГНИТИВНЫЕ И ЛИНГВИСТИЧЕСКИЕ АСПЕКТЫ ПРОЕКТИРОВАНИЯ РЕЧЕВОГО ЧЕЛОВЕКО-МАШИННОГО ИНТЕРФЕЙСА Фархадов М.П., Васьковский С.В., Петухова Н.В. В книге: Нейрокомпьютеры и их применение Тезисы докладов. 2017. С. 234-А.;0;Фархадов;М;П;Фархадов М. П.;НЕКОТОРЫЕ КОГНИТИВНЫЕ И ЛИНГВИСТИЧЕСКИЕ АСПЕКТЫ ПРОЕКТИРОВАНИЯ РЕЧЕВОГО ЧЕЛОВЕКО-МАШИННОГО ИНТЕРФЕЙСА Фархадов М.П., Васьковский С.В., Петухова Н.В. В книге: Нейрокомпьютеры и их применение Тезисы докладов. 2017. С. 234-А. ;2017    ;;2017    ;1;;Институт проблем управления
2;МЕТОДЫ ПОВЫШЕНИЯ НАДЕЖНОСТИ РАСПОЗНАВАНИЯ РЕЧИ ПРИ ПРОЕКТИРОВАНИИ РЕЧЕВОГО ИНТЕРФЕЙСА: КОГНИТИВНЫЕ И ЛИНГВИСТИЧЕСКИЕ АСПЕКТЫ Фархадов М.П., Петухова Н.В., Васьковский С.В., Румянцева Н.М., Фархадова М.Э. В сборнике: Оптико-электронные приборы и устройства в системах распознавания образов, обработки изображений и символьной информации. Распознавание - 2017 сборник материалов XIII Международной научно-технической конференции. 2017. С. 351-353.;0;Фархадов;М;П;Фархадов М. П.;МЕТОДЫ ПОВЫШЕНИЯ НАДЕЖНОСТИ РАСПОЗНАВАНИЯ РЕЧИ ПРИ ПРОЕКТИРОВАНИИ РЕЧЕВОГО ИНТЕРФЕЙСА: КОГНИТИВНЫЕ И ЛИНГВИСТИЧЕСКИЕ АСПЕКТЫ Фархадов М.П., Петухова Н.В., Васьковский С.В., Румянцева Н.М., Фархадова М.Э. В сборнике: Оптико-электронные приборы и устройства в системах распознавания образов, обработки изображений и символьной информации. Распознавание - 2017 сборник материалов XIII Международной научно-технической конференции. 2017. С. 351-353. ;2017    ;;2017    ;1;;Институт проблем управления
3;СИСТЕМА АНАЛИЗА ЗВУКОВЫХ ПОТОКОВ С РАСПОЗНАВАНИЕМ СЛИТНОЙ РЕЧИ Фархадов М.П., Смирнов В.А., Васьковский С.В., Абраменков А.Н. Датчики и системы. 2017. № 1 (210). С. 28-33.;0;Фархадов;М;П;Фархадов М. П.;СИСТЕМА АНАЛИЗА ЗВУКОВЫХ ПОТОКОВ С РАСПОЗНАВАНИЕМ СЛИТНОЙ РЕЧИ Фархадов М.П., Смирнов В.А., Васьковский С.В., Абраменков А.Н. Датчики и системы. 2017. № 1 (210). С. 28-33. ;2017    ;;2017    ;1;1;Институт проблем управления
4;ЭФФЕКТИВНОЕ ИСПОЛЬЗОВАНИЕ СОВРЕМЕННОЙ МНОГОПОТОЧНОЙ АРХИТЕКТУРЫ ДЛЯ СОЗДАНИЯ ПОТОКОБЕЗОПАСНЫХ ВЫСОКОПРОИЗВОДИТЕЛЬНЫХ СИСТЕМ МАССОВОГО ОБСЛУЖИВАНИЯ Фархадов М., Надеинский Н. В сборнике: Информационные технологии и математическое моделирование (ИТММ-2016) Материалы XV Международной конференции имени А.Ф. Терпугова. 2016. С. 128-133.;0;Фархадов;М;П;Фархадов М. П.;ЭФФЕКТИВНОЕ ИСПОЛЬЗОВАНИЕ СОВРЕМЕННОЙ МНОГОПОТОЧНОЙ АРХИТЕКТУРЫ ДЛЯ СОЗДАНИЯ ПОТОКОБЕЗОПАСНЫХ ВЫСОКОПРОИЗВОДИТЕЛЬНЫХ СИСТЕМ МАССОВОГО ОБСЛУЖИВАНИЯ Фархадов М., Надеинский Н. В сборнике: Информационные технологии и математическое моделирование (ИТММ-2016) Материалы XV Международной конференции имени А.Ф. Терпугова. 2016. С. 128-133. ;2016    ;;2016    ;0;;Институт проблем управления
5;ИССЛЕДОВАНИЕ МЕТОДОВ МОДЕЛИРОВАНИЯ ТЕЛЕКОММУНИКАЦИОННЫХ СЕТЕЙ С ПОТОКАМИ, ОТЛИЧНЫМИ ОТ ПУАССОНОВСКОГО Абраменков А.Н., Блинова О.В., Васьковский С.В., Фархадов М.П. В сборнике: Информационные технологии в управлении (ИТУ-2016) Материалы 9-й конференции по проблемам управления. Председатель президиума мультиконференции В. Г. Пешехонов. 2016. С. 130-131.;0;Фархадов;М;П;Фархадов М. П.;ИССЛЕДОВАНИЕ МЕТОДОВ МОДЕЛИРОВАНИЯ ТЕЛЕКОММУНИКАЦИОННЫХ СЕТЕЙ С ПОТОКАМИ, ОТЛИЧНЫМИ ОТ ПУАССОНОВСКОГО Абраменков А.Н., Блинова О.В., Васьковский С.В., Фархадов М.П. В сборнике: Информационные технологии в управлении (ИТУ-2016) Материалы 9-й конференции по проблемам управления. Председатель президиума мультиконференции В. Г. Пешехонов. 2016. С. 130-131. ;2016    ;;2016    ;0;;Институт проблем управления
6;ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ И МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ (ИТММ-2016) Материалы XV Международной конференции имени А.Ф. Терпугова / 2016. Том Часть 2;0;Фархадов;М;П;Фархадов М. П.;ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ И МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ (ИТММ-2016) Материалы XV Международной конференции имени А.Ф. Терпугова / 2016. Том Часть 2 ;2016    ;;2016    ;0;;Институт проблем управления
7;АНАЛИЗ КОНФЛИКТНЫХ СИТУАЦИЙ ПРИ РАЗРАБОТКЕ АЛГОРИТМОВ ПРЕДОСТАВЛЕНИЯ УСЛУГ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ МАССОВОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ Вертлиб В.А., Фархадов М.П. В сборнике: Информационные технологии в управлении (ИТУ-2016) Материалы 9-й конференции по проблемам управления. Председатель президиума мультиконференции В. Г. Пешехонов. 2016. С. 484-485.;0;Фархадов;М;П;Фархадов М. П.;АНАЛИЗ КОНФЛИКТНЫХ СИТУАЦИЙ ПРИ РАЗРАБОТКЕ АЛГОРИТМОВ ПРЕДОСТАВЛЕНИЯ УСЛУГ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ МАССОВОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ Вертлиб В.А., Фархадов М.П. В сборнике: Информационные технологии в управлении (ИТУ-2016) Материалы 9-й конференции по проблемам управления. Председатель президиума мультиконференции В. Г. Пешехонов. 2016. С. 484-485. ;2016    ;;2016    ;0;;Институт проблем управления
8;ПОСТРОЕНИЕ ВЕДОМСТВЕННЫХ СЕТЕЙ С ПРИМЕНЕНИЕМ СИСТЕМ РАСПОЗНАВАНИЯ РЕЧИ Фархадов М.П., Васьковский С.В. В сборнике: Распределенные компьютерные и телекоммуникационные сети: управление, вычисление, связь (DCCN-2016) материалы Девятнадцатой международной научной конференции : в 3 томах. под общ. ред. В. М. Вишневского и К. Е. Самуйлова. 2016. С. 84-92.;0;Фархадов;М;П;Фархадов М. П.;ПОСТРОЕНИЕ ВЕДОМСТВЕННЫХ СЕТЕЙ С ПРИМЕНЕНИЕМ СИСТЕМ РАСПОЗНАВАНИЯ РЕЧИ Фархадов М.П., Васьковский С.В. В сборнике: Распределенные компьютерные и телекоммуникационные сети: управление, вычисление, связь (DCCN-2016) материалы Девятнадцатой международной научной конференции : в 3 томах. под общ. ред. В. М. Вишневского и К. Е. Самуйлова. 2016. С. 84-92. ;2016    ;;2016    ;1;;Институт проблем управления
9;ПРОЕКТИРОВАНИЕ СИСТЕМЫ АНАЛИЗА НЕСТРУКТУРИРОВАННОЙ РЕЧЕВОЙ ИНФОРМАЦИИ Фархадов М.П., Васьковский С.В., Смирнов В.А. Нейрокомпьютеры: разработка, применение. 2016. № 14. С. 25.;1;Фархадов;М;П;Фархадов М. П.;ПРОЕКТИРОВАНИЕ СИСТЕМЫ АНАЛИЗА НЕСТРУКТУРИРОВАННОЙ РЕЧЕВОЙ ИНФОРМАЦИИ Фархадов М.П., Васьковский С.В., Смирнов В.А. Нейрокомпьютеры: разработка, применение. 2016. № 14. С. 25. ;2016    ;;2016    ;1;;Институт проблем управления
10;ПРОЕКТИРОВАНИЕ СИСТЕМЫ АНАЛИЗА НЕСТРУКТУРИРОВАННОЙ РЕЧЕВОЙ ИНФОРМАЦИИ Фархадов М.П., Васьковьский С.В., Смирнов В.А., Фархадова М.Э. Нейрокомпьютеры: разработка, применение. 2016. № 4. С. 25-36.;0;Фархадов;М;П;Фархадов М. П.;ПРОЕКТИРОВАНИЕ СИСТЕМЫ АНАЛИЗА НЕСТРУКТУРИРОВАННОЙ РЕЧЕВОЙ ИНФОРМАЦИИ Фархадов М.П., Васьковьский С.В., Смирнов В.А., Фархадова М.Э. Нейрокомпьютеры: разработка, применение. 2016. № 4. С. 25-36. ;2016    ;;2016    ;1;;Институт проблем управления
