code	description	description_СТ.9 
10		 Идентификация патента, свидетельства дополнительной охраны или патентного документа
11	Номер документа	Номер патента, свидетельства дополнительной охраны или патентного документа
12	Cловесное обозначение вида документа	Словесное обозначение вида документа
13	 Код вида документа	Код вида документа в соответствии со стандартом ВОИС СТ.16 
15		 Информация о коррекции патента
19	Код страны публикации	Код в соответствии со стандартом ВОИС СТ.3 или другие средства идентификации ведомства или организации, осуществивших публикацию документа
21	Регистрационный номер заявки, включая номера присоединенных заявок	 Регистрационный номер заявки
22	Дата подачи заявки	Дата(ы) подачи заявки(ок)
23	Дата поступления дополнительных материалов к ранее поданной заявке	 Прочая(ие) дата(ы), включая дату подачи полного описания после подачи предварительного описания и дату выставочного приоритета
24	дата приоритета или дата, с которой начинается действие прав промышленной собственности (дата начала отсчета срока действия патента)	Дата, с которой начинается действие прав промышленной собственности
25		 Язык, на котором первоначально была подана публикуемая заявка
26		Язык публикации заявки
27		 Ссылка на ранее поданную заявку с целью выявления даты подачи, соответствующей статье 5(7) Договора о патентном праве 
30	Приоритетные данные	Данные, относящиеся к приоритету согласно Парижской Конвенции или Соглашению по торговым аспектам прав интеллектуальной собственности (TRIPS)
31	Номер конвенционной заявки	Номер(а), присвоенный(е) приоритетной(ым) заявке(ам) 
32	Дата подачи конвенционной заявки 	Дата(ы) подачи приоритетной(ых) заявки(ок)
33	Страна приоритета	"Код по Стандарту ВОИС СТ.3, идентифицирующий национальное ведомство промышленной собственности, присваивающее номер приоритетной заявке, или организацию, присваивающую номер региональной приоритетной заявке; для международных заявок, поданных по процедуре PCT, должен использоваться код «WO»"
34		Для приоритетных заявооданных в соответствии с региональными или международными соглашениями, - код по Стандарту ВОИС СТ.3, идентифицирующий, по крайней мере, одну страну - участницу Парижской Конвенции или члена Всемирной торговой  организации, в которую была подана региональная или международная заявка.
40		 Дата(ы) предоставления документа для всеобщего ознакомления
41	Дата предоставления для всеобщего ознакомления не прошедшего экспертизу документа	Дата предоставления для всеобщего ознакомления посредством выкладки или предоставления копий по заказу не прошедшего экспертизу патентного документа, по которому на эту или более раннюю дату не было принято решение о выдаче охранного документа
42		Дата предоставления для всеобщего ознакомления посредством выкладки или предоставления копий прошедшего экспертизу патентного документа, по которому на эту или более раннюю дату не было принято решение о выдаче охранного документа
43	Дата публикации заявки	Дата публикации типографским или иным аналогичным способом не прошедшего экспертизу патентного документа, по которому на эту или более раннюю дату не было принято решение о выдаче охранного документа
44		Дата публикации типографским или иным аналогичным способом прошедшего экспертизу патентного документа, по которому на эту или более раннюю дату не было принято решение о выдаче охранного документа или было принято решение о выдаче временного охранного документа
45		Дата публикации типографским или иным аналогичным способом патентного документа, по которому на эту или более раннюю дату было принято решение о выдаче охранного документа
46	Дата публикации формулы изобретения	Дата предоставления для всеобщего ознакомления только формулы (пунктов формулы) патентного документа
47		Дата предоставления для всеобщего ознакомления посредством выкладки или представления по заказу копий патентного документа, по которому на эту или более раннюю дату было принято решение о выдаче охранного документа
48		Дата публикации скорректированного патентного документа
50		Техническая информация
51	Индексы международной патентной классификации изобретений (МПК) (Основной  индекс МПК/Дополнительные индексы МПК/Номер редакции МПК)	Международная Патентная Классификация или, в случае патента на промышленный образец, как указано в пункте 4(c) данных Рекомендаций, Международная Классификация Промышленных Образцов
52		 Внутренняя или национальная классификация
54	Название изобретения	Название изобретения
56	Список источников информации, принятых во внимание при составлении заявки	 Список документов уровня техники, если он дается отдельно от описательного текста
57	Реферат	Реферат или формула
58		Область поиска
60		Ссылки на другие юридически или процедурно связанные отечественные или бывшие отечественные патентные документы, включая неопубликованные заявки на них
61		Номер и, если возможно, дата подачи более ранней заявки или номер более ранней публикации или номер ранее выданного патента, авторского свидетельства, полезной модели или подобного документа, по отношению к которому настоящий документ является дополнительным
62	Номер и дата приоритета  первоначальной заявки,из которой данная заявка выделена	 Номер и, если это возможно, дата подачи более ранней заявки, из которой выделен настоящий документ
63		Номер и дата подачи более ранней заявки, по отношению к которой настоящий патентный документ является продолжением
64		 Номер более ранней публикации, которая «переиздается» 
65	Номер аннулированного патента	Номер ранее опубликованного патентного документа, касающегося данной заявки
66	Номер и дата подачи ранее поданной заявки	Номер и дата подачи более ранней заявки, заменой которой является настоящий документ, то есть более поздняя заявка, поданная после отзыва более ранней заявки на то же самое изобретение
67		Номер и дата подачи заявки на патент или номер выданного патента, на котором основаны настоящая заявка на полезную модель или её регистрация (или подобные права промышленной собственности, такие, как свидетельство о полезности или полезное новшество)
68		Для свидетельств дополнительной охраны - номер основного патента и/или номер публикации патентного документа
70		Идентификация лиц, имеющих отношение к патенту или свидетельству дополнительной охраны
71	Заявитель(и)	Имя (имена) заявителя(ей)
72	Автор(ы)	Имя (имена) изобретателя(ей), если таковые известны
73	Патентообладатель(и) 	Имя (имена) получателя(ей), держателя(ей), правопреемника(ов) или владельца(ев) охранного документа
74	Патентный поверенный(е)	Имя (имена) патентного(ых) поверенного(ых) или представителя(ей) 
75		 Имя (имена) изобретателя(ей), являющегося(ихся) также заявителем(ями) 
76		Имя (имена) изобретателя(ей), являющегося(ихся) также заявителем(ями) и получателем(ями) охранного документа
80		Идентификация данных, относящихся к международным конвенциям, помимо Парижской Конвенции, и к законодательству, касающемуся свидетельств дополнительной охраны
81		Указанное(ые) государство(а) в соответствии с PCT 
83		 Информация о депонировании микроорганизмов, например, в соответствии с Будапештским Договором
84		 Указанные договаривающиеся государства в соответствии с региональными патентными конвенциями
85	Дата начала рассмотрения заявки РСТ на национальной фазе	 Дата перехода на национальную фазу в соответствии со статьями 23(1) или 40(1) PCT
86	Регистрационный номер и дата подачи заявки РСТ (Европейское патентное ведомство)	"Заявочные данные международной заявки PCT, т.е. дата подачи международной заявки, регистрационный номер международной заявки и, факультативно, язык, на котором была первоначально подана опубликованная международная заявка; или, в  случае патентов на промышленные образцы, регистрационные данные международной заявки в соответствии с Гаагским Соглашением, т.е. дата международной регистрации и номер международной регистрации"
87	Регистрационный номер и дата публикации заявки РСТ	 Данные относительно публикации международной заявки PCT, т.е. дата международной публикации, номер международной публикации и, факультативно, язык публикации международной заявки
88		Дата отсроченной публикации отчета о поиске
90		Идентификация данных, относящихся к международным конвенциям, помимо Парижской Конвенции, и к законодательству, касающемуся свидетельств дополнительной охраны
91		Дата, с которой международная заявка, поданная согласно PCT, больше не действует в одной или нескольких указанных или выбранных странах вследствие не перехода на национальную или региональную фазу, или дата, когда определено, что она не переходит на национальную или региональную фазу
92		Для свидетельств дополнительной охраны - номер и дата первого национального разрешения о поставке продукта на рынок в качестве медицинского продукта
93		Для свидетельств дополнительной охраны - номер, дата и, когда это применимо, страна происхождения первого разрешения о поставке продукта на рынок в качестве медицинского продукта в региональном экономическом сообществе
94		Вычисленная дата истечения срока действия свидетельства дополнительной охраны или срок его действия
95		Название продукта, охраняемого основным патентом, и в отношении которого испрашивалось или было выдано свидетельство дополнительной охраны
96		Данные, относящиеся к подаче региональной заявки, т.е. дата подачи заявки, номер заявки и, факультативно, язык, на котором была первоначально подана опубликованная заявка
97		Данные публикации региональной заявки (или регионального патента, в случае, если он уже выдан), т.е. дата публикации, номер публикации и, факультативно, язык, на котором опубликована заявка (или, где применимо, патент)
98	Адрес для переписки	отсутствует
