11	12	13	15	19	21	22	23	24	30	43	45	48	51	54	56	71	72	73	74	85	86_date	86_number	87_date	87_number	98	status	11_href	21_href	43_href	45_href
2 627 117	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2015111180	29.11.2012		29.11.2012	 28.09.2012 KR 10-2012-0109453; 22.10.2012 KR 10-2012-0117193	20.10.2016	03.08.2017		G10L 15/30 (2013.01); H04L 12/66 (2006.01); G10L 15/22 (2006.01)		US 6408272 B1, 18.06.2002. US 2007/0027693 A1, 01.02.2007. US 8224644 B2, 17.07.2012. US 2008/0300884 A1, 04.12.2008. WO 2011/163538 A1, 29.12.2011. RU 2391716 C2, 10.06.2010.					27.03.2015	29.11.2012	KR 2012/010255	03.04.2014	WO 2014/051207	"129090, Москва, ул. Б. Спасская, 25, стр. 3, ООО ""Юридическая фирма Городисский и Партнеры"""	Статус: нет данных	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2627117&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2627117&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2017.08.03/RUNWC1/000/000/002/627/117/%D0%98%D0%97-02627117-00001/document.pdf
111 944	ФОРМУЛА ПОЛЕЗНОЙ МОДЕЛИ	U1		RU	2011125526/08	21.06.2011		21.06.2011			27.12.2011		G10L 15/00 (2006.01)	УСТРОЙСТВО ДЛЯ ФОНЕТИЧЕСКОГО АНАЛИЗА И РАСПОЗНАВАНИЯ РЕЧИ			Савченко Андрей Владимирович (RU), Савченко Владимир Васильевич (RU), Акатьев Дмитрий Юрьевич (RU)	Савченко Андрей Владимирович (RU)							603950, г. Нижний Новгород, ул. Минина, 24, НГТУ ОИС	Статус: прекратил действие, но может быть восстановлен (последнее изменение статуса: 17.04.2015);Пошлина: учтена за 3 год с 22.06.2013 по 21.06.2014	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=111944&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=111944&TypeFile=html		http://www.fips.ru/Archive/PAT/2011FULL/2011.12.27/DOC/RUNWU1/000/000/000/111/944/DOCUMENT.PDF
2005 136 460	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2005136460/09	23.11.2005			 24.11.2004 US 10/996,732	27.05.2007			G10L 15/00 (2006.01)	УНИВЕРСАЛЬНЫЕ ОРФОГРАФИЧЕСКИЕ МНЕМОСХЕМЫ		МАЙКРОСОФТ КОРПОРЕЙШН (US)	КЕЛЬБА Чиприан И. (US), ЧАМБЕРС Роберт Л. (US), МОВАТТ Давид (US), У Цян (US)								"129010, Москва, ул. Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Г.Б. Егоровой"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005136460&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005136460&TypeFile=html	http://www.fips.ru/Archive/PAT/2007FULL/2007.05.27/DOC/RUNWA/000/002/005/136/460/DOCUMENT.PDF	
2005 103 319	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2005103319/09	10.02.2005				20.07.2006			G10L 15/00 (2006.01); H04R 29/00 (2006.01)	УСТРОЙСТВО ИЗМЕРЕНИЯ РАЗБОРЧИВОСТИ РЕЧИ		Железняк Владимир Кириллович (RU)	Железняк Владимир Кириллович (RU)								196620, Санкт-Петербург, Павловск, Медвежий пер., 5, кв.14, Б.А. Пейзнеру		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005103319&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005103319&TypeFile=html	http://www.fips.ru/Archive/PAT/2006FULL/2006.07.20/DOC/RUNWA/000/002/005/103/319/DOCUMENT.PDF	
2005 112 060	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2005112060/09	21.04.2005			 22.04.2004 US 10/829,370	27.10.2006			G10L 15/00 (2006.01)	ЛОКАЛИЗАЦИЯ НА ЯЗЫК С ИСПОЛЬЗОВАНИЕМ ТАБЛИЦ		МАЙКРОСОФТ КОРПОРЕЙШН (US)	РЕТТИГ Бьорн К. (US), ОХИАМА Хидеки (US), ЛЯНЬ Хонгин (US), ПУРНАССЕХ Хоуман (US), ФАЛКЕНА Ян Рулоф (US), СУРЕШ Мамата (US), СУВАНАСУК Реркбоон (US), ЦЗАН Сиаофен (US), ГУО Йонг (US), ЛИ Чжун Юа (US)		Егорова Галина Борисовна						"129010, Москва, ул. Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Г.Б. Егоровой"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005112060&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005112060&TypeFile=html	http://www.fips.ru/Archive/PAT/2006FULL/2006.10.27/DOC/RUNWA/000/002/005/112/060/DOCUMENT.PDF	
2005 123 222	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2005123222/09	21.07.2005				27.01.2007			G10L 15/00 (2006.01)	СПОСОБ КОМПИЛЯЦИОННОГО ФОНЕМНОГО СИНТЕЗА РУССКОЙ РЕЧИ И УСТРОЙСТВО ДЛЯ ЕГО РЕАЛИЗАЦИИ		"Государственное образовательное учреждение высшего профессионального образования ""Воронежский государственный технический университет"" (RU)"	Алперин Евгений Данилович (RU), Кнох Владимир Яковлевич (RU)								"394026, г.Воронеж, Московский пр-кт, 14, ГОУВПО ""ВГТУ"", патентный отдел"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005123222&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005123222&TypeFile=html	http://www.fips.ru/Archive/PAT/2007FULL/2007.01.27/DOC/RUNWA/000/002/005/123/222/DOCUMENT.PDF	
2005 128 572	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2005128572/09	13.09.2005				27.03.2007			G10L 15/00 (2006.01)	СПОСОБ ОСУЩЕСТВЛЕНИЯ МАШИННОЙ ОЦЕНКИ КАЧЕСТВА ЗВУКОВЫХ СИГНАЛОВ		Гусев Михаил Николаевич (RU)	Гусев Михаил Николаевич (RU), Дегтярев Владимир Михайлович (RU), Жарков Игорь Вениаминович (RU)								197374, Санкт-Петербург, ул. Беговая, 5-2, кв.229, пат.пов. М.И.Лифсону		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005128572&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005128572&TypeFile=html	http://www.fips.ru/Archive/PAT/2007FULL/2007.03.27/DOC/RUNWA/000/002/005/128/572/DOCUMENT.PDF	
2004 109 571	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2004109571/09	30.03.2004			 31.03.2003 US 10/403,638	20.10.2005			G10L 15/00 (2000.01); G06K 9/00 (2000.01)	СПОСОБ ОЦЕНКИ ШУМА С ИСПОЛЬЗОВАНИЕМ ПОШАГОВОГО БАЙЕСОВСКОГО ИЗУЧЕНИЯ		МАЙКРОСОФТ КОРПОРЕЙШН (US)	АСЕРО Алехандро (US), ДЕНГ Ли (US), ДРОППО Джеймс Дж. (US)		Егорова Галина Борисовна						"129010, Москва, ул. Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Г.Б. Егоровой"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2004109571&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2004109571&TypeFile=html	http://www.fips.ru/Archive/PAT/2005FULL/2005.10.20/DOC/RUNWA/000/002/004/109/571/DOCUMENT.PDF	
2 295 163	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2005123753/09	26.07.2005		26.07.2005			10.03.2007		G10L 15/02 (2006.01)	СПОСОБ РАСПОЗНАВАНИЯ МУЗЫКАЛЬНЫХ ПРОИЗВЕДЕНИЙ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ	Jaap Haitsma and Ton Kalker. A highly Robust Audio Fingerprinting System. Proceedings of ISMIR. 2002, Paris, France, October 2002. WO 03/091990 A1, 11.06.2003. WO 02/073520 A1, 19.09.2002. US 5918223 A, 29.06.1999. RU 2256293 C1, 10.07.2005.		Гармонов Александр Васильевич (RU), Савинков Андрей Юрьевич (RU), Прибытков Юрий Николаевич (RU), Шилов Вадим Владимирович (RU)	Гармонов Александр Васильевич (RU)							"394077, г.Воронеж, Московский пр-кт, 97, ЗАО ""КОДОФОН"", В.А. Фурсовой"	Статус: действует (последнее изменение статуса: 29.08.2016);Пошлина: учтена за 12 год с 27.07.2016 по 26.07.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2295163&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2295163&TypeFile=html		http://www.fips.ru/Archive/PAT/2007FULL/2007.03.10/DOC/RUNWC1/000/000/002/295/163/DOCUMENT.PDF
2004 113 568	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2004113568/09	30.04.2004			 01.05.2003 US 10/427,216	10.10.2005			G10L 15/00 (2000.01)	ДИНАМИЧЕСКАЯ ПОДДЕРЖКА ПРОИЗНОШЕНИЯ ДЛЯ ОБУЧЕНИЯ РАСПОЗНАВАНИЮ ЯПОНСКОЙ И КИТАЙСКОЙ РЕЧИ		МАЙКРОСОФТ КОРПОРЕЙШН (US)	ДЗУ Юн-Ченг (US), ХОН Хсиао-Вуен (US), СЕНДЗУ Казухиро (US)		Егорова Галина Борисовна						"129010, Москва, ул. Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Г.Б. Егоровой"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2004113568&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2004113568&TypeFile=html	http://www.fips.ru/Archive/PAT/2005FULL/2005.10.10/DOC/RUNWA/000/002/004/113/568/DOCUMENT.PDF	
